"year","id_","age","sex","race","hompop","moredays","hrsrelax","wkageism","wkracism","wksexism","mntlhlth","wealth","wkageism_bin","wkracism_bin","wksexism_bin"
2018,1,43,"MALE","White",5,8,3,"NO","NO","NO",20,"Unknown",0,0,0
2018,3,42,"MALE","White",4,3,3,"NO","NO","NO",3,"$250,000 to $500,000",0,0,0
2018,4,63,"FEMALE","White",2,2,7,"NO","NO","YES",1,"$1 million to $2 million",0,0,1
2018,7,59,"FEMALE","Black",2,1,1,"NO","NO","NO",0,"$20,000 to $40,000",0,0,0
2018,8,43,"MALE","White",1,24,1,"NO","NO","NO",1,"$100,000 to $150,000",0,0,0
2018,9,62,"FEMALE","White",1,0,0,"NO","NO","NO",10,"Less than $5,000",0,0,0
2018,10,55,"MALE","White",2,3,4,"NO","NO","NO",10,"$500,000 to $1 million",0,0,0
2018,11,59,"MALE","White",2,2,0,"NO","NO","NO",0,"$250,000 to $500,000",0,0,0
2018,12,34,"FEMALE","Other",4,6,5,"NO","NO","NO",0,"$20,000 to $40,000",0,0,0
2018,14,44,"MALE","Black",3,0,24,"NO","NO","NO",0,"$75,000 to $100,000",0,0,0
2018,16,75,"FEMALE","White",2,0,5,"NO","NO","NO",0,"$500,000 to $1 million",0,0,0
2018,19,40,"FEMALE","White",3,3,0,"NO","NO","NO",0,"$250,000 to $500,000",0,0,0
2018,20,30,"MALE","White",4,15,4,"NO","NO","NO",9,"$100,000 to $150,000",0,0,0
2018,21,34,"FEMALE","White",3,2,2,"NO","YES","NO",0,"$100,000 to $150,000",0,1,0
2018,23,40,"FEMALE","White",3,2,8,"NO","NO","NO",0,"$100,000 to $150,000",0,0,0
2018,24,37,"MALE","White",2,26,1,"YES","NO","NO",5,"$150,000 to $250,000",1,0,0
2018,25,56,"FEMALE","White",2,2,2,"NO","NO","NO",1,"$250,000 to $500,000",0,0,0
2018,27,68,"FEMALE","White",1,0,4,"NO","NO","NO",5,"$250,000 to $500,000",0,0,0
2018,30,20,"MALE","White",4,3,6,"NO","NO","NO",0,"$5,000 to $20,000",0,0,0
2018,34,56,"FEMALE","White",1,15,0,"NO","NO","YES",10,"$150,000 to $250,000",0,0,1
2018,35,55,"FEMALE","White",1,1,7,"NO","NO","NO",0,"Unknown",0,0,0
2018,36,65,"MALE","White",2,1,1,"NO","NO","NO",1,"$250,000 to $500,000",0,0,0
2018,37,71,"FEMALE","White",1,0,8,"YES","NO","YES",0,"Unknown",1,0,1
2018,38,34,"MALE","White",1,30,5,"NO","YES","NO",0,"Less than $5,000",0,1,0
2018,39,45,"MALE","White",1,5,3,"NO","NO","NO",0,"Unknown",0,0,0
2018,41,65,"FEMALE","White",1,0,5,"NO","NO","NO",7,"$5,000 to $20,000",0,0,0
2018,42,52,"MALE","White",2,2,6,"NO","NO","NO",10,"$40,000 to $75,000",0,0,0
2018,46,46,"FEMALE","White",1,3,3,"NO","NO","NO",15,"$75,000 to $100,000",0,0,0
2018,47,40,"MALE","White",4,3,1,"NO","NO","NO",0,"$1 million to $2 million",0,0,0
2018,51,22,"MALE","White",4,2,2,"NO","NO","NO",0,"Unknown",0,0,0
2018,52,42,"FEMALE","White",4,1,2,"NO","NO","NO",1,"$5,000 to $20,000",0,0,0
2018,53,59,"FEMALE","White",2,16,2,"NO","NO","NO",11,"$40,000 to $75,000",0,0,0
2018,55,46,"MALE","White",2,0,3,"NO","NO","NO",0,"$1 million to $2 million",0,0,0
2018,56,55,"MALE","White",2,1,5,"NO","NO","NO",0,"$2 million to $3 million",0,0,0
2018,59,23,"MALE","White",4,0,4,"NO","NO","NO",0,"Less than $5,000",0,0,0
2018,60,28,"FEMALE","Black",3,3,4,"NO","NO","NO",5,"Less than $5,000",0,0,0
2018,62,42,"FEMALE","Black",3,0,3,"NO","NO","NO",0,"Less than $5,000",0,0,0
2018,63,41,"FEMALE","Black",1,0,2,"NO","NO","NO",0,"$40,000 to $75,000",0,0,0
2018,67,34,"MALE","White",1,0,0,"NO","NO","NO",0,"Less than $5,000",0,0,0
2018,69,32,"FEMALE","Black",1,20,2,"YES","YES","YES",0,"$150,000 to $250,000",1,1,1
2018,72,37,"MALE","Black",2,20,2,"NO","NO","NO",0,"$40,000 to $75,000",0,0,0
2018,74,42,"FEMALE","White",1,12,1,"NO","NO","NO",0,"$150,000 to $250,000",0,0,0
2018,75,21,"MALE","White",4,3,3,"NO","NO","NO",5,"$500,000 to $1 million",0,0,0
2018,76,33,"FEMALE","Black",11,0,2,"NO","NO","NO",0,"Unknown",0,0,0
2018,77,37,"FEMALE","White",4,18,1,"NO","NO","NO",5,"$250,000 to $500,000",0,0,0
2018,82,42,"FEMALE","Black",2,10,2,"NO","NO","NO",3,"$250,000 to $500,000",0,0,0
2018,84,40,"FEMALE","White",3,4,0,"NO","NO","NO",0,"$75,000 to $100,000",0,0,0
2018,85,70,"MALE","White",2,0,4,"NO","NO","NO",0,"$5,000 to $20,000",0,0,0
2018,86,28,"MALE","Black",2,13,8,"NO","NO","NO",0,"Less than $5,000",0,0,0
2018,87,53,"FEMALE","Other",2,0,5,"NO","NO","NO",0,"Less than $5,000",0,0,0
2018,88,46,"MALE","White",4,2,2,"NO","NO","NO",0,"$1 million to $2 million",0,0,0
2018,89,55,"MALE","White",2,0,3,"NO","NO","NO",5,"$150,000 to $250,000",0,0,0
2018,90,28,"MALE","Other",1,5,6,"NO","NO","NO",1,"$20,000 to $40,000",0,0,0
2018,91,42,"MALE","White",1,30,5,"NO","YES","YES",1,"$500,000 to $1 million",0,1,1
2018,92,77,"FEMALE","White",1,2,6,"NO","NO","NO",3,"$20,000 to $40,000",0,0,0
2018,93,29,"MALE","Other",2,0,5,"NO","NO","NO",1,"Unknown",0,0,0
2018,95,30,"FEMALE","Black",1,0,3,"NO","NO","NO",0,"$75,000 to $100,000",0,0,0
2018,96,22,"MALE","Black",3,3,8,"NO","NO","YES",15,"Unknown",0,0,1
2018,98,45,"MALE","Black",1,20,2,"NO","NO","NO",0,"$1 million to $2 million",0,0,0
2018,101,48,"MALE","Other",1,0,0,"NO","NO","NO",0,"$250,000 to $500,000",0,0,0
2018,103,50,"MALE","Other",2,0,4,"NO","NO","NO",0,"$1 million to $2 million",0,0,0
2018,105,56,"MALE","White",1,1,8,"NO","NO","NO",0,"$1 million to $2 million",0,0,0
2018,106,60,"MALE","White",1,1,4,"NO","NO","YES",2,"$250,000 to $500,000",0,0,1
2018,107,23,"MALE","White",4,30,6,"NO","NO","NO",0,"$40,000 to $75,000",0,0,0
